official_name,entity_type,total_patents,total_citations,notes,raw_variants,cik,form_type,cik_source
US Navy,Grouped (source),67,17,,govermment of the united of america as represented by the secretary of the navy; government of the united states of america as represented by the secretary of the navy; the govermment of the united states of america as represented by the secretary of the navy; the government of the united state of america as represented by the secretary of the navy; the government of the united states of america as represented by the secretary of the navy,,,not found
shanghai zhaoxin semiconductor co ltd,,66,16,,shanghai zhaoxin semiconductor co ltd,,,not found
"CSMC Technologies Fab2 Co., Ltd.",Parent,66,15,,csmc technologies fab2 co ltd; csmc technologies fab2 coltd; csmc technology fab2 co ltd,,,not found
lg innotek co ltd,,65,23,,lg innotek co ltd,,,not found
db hitek co ltd,,63,1,,db hitek co ltd,,,not found
deepx co ltd,,63,3,,deepx co ltd,,,not found
fujifilm electronic materials usa inc,,62,18,,fujifilm electronic materials usa inc,,,not found
naver corporation,,62,6,,naver corporation,,,not found
rheem manufacturing company,,62,4,,rheem manufacturing company,,,not found
silergy semiconductor technology hangzhou ltd,,62,5,,silergy semiconductor technology hangzhou ltd,,,not found
wistron corporation,,62,53,,wistron corporation,,,not found
heatcraft refrigeration products llc,,61,7,,heatcraft refrigeration products llc,,,not found
japan display inc,,61,15,,japan display inc,,,not found
sri international,,61,39,,sri international,,,not found
beijing youzhuju network technology co ltd,,60,2,,beijing youzhuju network technology co ltd,,,not found
hebei qinhuai data co limited,,60,0,,hebei qinhuai data co limited,,,not found
the torontodominion bank,,60,25,,the torontodominion bank,,,not found
wipro limited,,60,12,,wipro limited,,,not found
wiwynn corporation,,60,13,,wiwynn corporation,,,not found
3m innovative properties company,,59,15,,3m innovative properties company,,,not found
ablic inc,,59,6,,ablic inc,,,not found
bull sas,,59,24,,bull sas,,,not found
groq inc,,59,14,,groq inc,,,not found
lennox industries inc,,59,16,,lennox industries inc,,,not found
ngk insulators ltd,,59,12,,ngk insulators ltd,,,not found
optum inc,,59,6,,optum inc,,,not found
ats austria technologie systemtechnik aktiengesellschaft,,58,24,,ats austria technologie systemtechnik aktiengesellschaft,,,not found
denka company limited,,58,6,,denka company limited,,,not found
elpis technologies inc,,58,5,,elpis technologies inc,,,not found
molex llc,,57,54,,molex llc,,,not found
national tsing hua university,,57,5,,national tsing hua university,,,not found
"Samsung SDS Co., Ltd.",Samsung subsidiary,57,11,IT/cloud services arm,samsung sds co ltd,,,not found
zhejiang university,,57,6,,zhejiang university,,,not found
frore systems inc,,56,65,,frore systems inc,,,not found
richtek technology corporation,,56,9,,richtek technology corporation,,,not found
auras technology co ltd,,55,27,,auras technology co ltd,,,not found
tyco fire security gmbh,,55,3,,tyco fire security gmbh,,,not found
zte corporation,,55,2,,zte corporation,,,not found
eaton intelligent power limited,,54,12,,eaton intelligent power limited,,,not found
johnson controls tyco ip holdings llp,,54,3,,johnson controls tyco ip holdings llp,,,not found
magnachip semiconductor ltd,,54,24,,magnachip semiconductor ltd,,,not found
national university of singapore,,54,4,,national university of singapore,,,not found
national yang ming chiao tung university,,54,1,,national yang ming chiao tung university,,,not found
optum services ireland limited,,54,0,,optum services ireland limited,,,not found
sifive inc,,54,2,,sifive inc,,,not found
sumitomo heavy industries ltd,,54,0,,sumitomo heavy industries ltd,,,not found
the board of trustees of the university of illinois,,54,9,,the board of trustees of the university of illinois,,,not found
agc inc,,53,34,,agc inc,,,not found
psiquantum corp,,53,316,,psiquantum corp,,,not found
ASML Holding N.V.,Subsidiary,52,6,Netherlands operating entity,asml netherlands bv,,,not found
bae systems information and electronic systems integration inc,,51,16,,bae systems information and electronic systems integration inc,,,not found
the chemours company fc llc,,51,36,,the chemours company fc llc,,,not found
huazhong university of science and technology,,50,11,,huazhong university of science and technology,,,not found
nuvoton technology corporation,,50,9,,nuvoton technology corporation,,,not found
cxmt corporation,,48,0,,cxmt corporation,,,not found
nuvoton technology corporation japan,,48,6,,nuvoton technology corporation japan,,,not found
tahoe research ltd,,48,0,,tahoe research ltd,,,not found
amulaire thermal technology inc,,47,4,,amulaire thermal technology inc,,,not found
ge precision healthcare llc,,47,0,,ge precision healthcare llc,,,not found
booz allen hamilton inc,,46,85,,booz allen hamilton inc,,,not found
lightmatter inc,,46,101,,lightmatter inc,,,not found
zhuhai access semiconductor co ltd,,46,0,,zhuhai access semiconductor co ltd,,,not found
alfa laval corporate ab,,45,6,,alfa laval corporate ab,,,not found
citibank na,,45,5,,citibank na,,,not found
national technology engineering solutions of sandia llc,,45,40,,national technology engineering solutions of sandia llc,,,not found
uif university industry foundation yonsei university,,45,1,,uif university industry foundation yonsei university,,,not found
acer incorporated,,44,23,,acer incorporated,,,not found
cirrus logic international semiconductor ltd,,44,17,,cirrus logic international semiconductor ltd,,,not found
